tf,target
SOX5,AKIRIN1
SOX6,AKIRIN1
SOX9,AKIRIN1
TBR1,AKIRIN1
TCF7L1,AKIRIN1
VEZF1,AKIRIN1
ZBTB18,AKIRIN1
ZBTB20,AKIRIN1
ZNF148,AKIRIN1
ZNF219,AKIRIN1
ZNF441,AKIRIN1
ARX,ALCAM
BHLHE22,ALCAM
CTCF,ALCAM
DEAF1,ALCAM
E2F1,ALCAM
EMX1,ALCAM
KLF10,ALCAM
KLF3,ALCAM
MEF2C,ALCAM
NEUROD6,ALCAM
NFIA,ALCAM
NFIB,ALCAM
NR4A2,ALCAM
POU2F1,ALCAM
RFX2,ALCAM
SOX5,ALCAM
SOX6,ALCAM
TBR1,ALCAM
TCF3,ALCAM
TCF7L1,ALCAM
TFAP2C,ALCAM
VEZF1,ALCAM
ZBTB18,ALCAM
ZBTB20,ALCAM
ZNF148,ALCAM
ZNF441,ALCAM
JUN,ALDH1A2
KLF10,ALDH1A2
MEF2C,ALDH1A2
POU2F1,ALDH1A2
SATB2,ALDH1A2
SOX5,ALDH1A2
SOX6,ALDH1A2
VEZF1,ALDH1A2
NEUROD2,ALDH2
SOX2,ALDH2
TBR1,ALDH2
ZNF219,ALDH2
NR2E1,ALPK3
ARX,ALYREF
ASCL1,ALYREF
ATF7,ALYREF
BHLHE22,ALYREF
CTCF,ALYREF
DEAF1,ALYREF
E2F1,ALYREF
EMX1,ALYREF
FOS,ALYREF
JUN,ALYREF
KAT7,ALYREF
KLF10,ALYREF
KLF11,ALYREF
KLF3,ALYREF
MEF2C,ALYREF
MEIS2,ALYREF
NEUROD2,ALYREF
NFIA,ALYREF
NFIB,ALYREF
NR2E1,ALYREF
NR4A2,ALYREF
POU2F1,ALYREF
POU3F2,ALYREF
RFX2,ALYREF
SATB2,ALYREF
SOX2,ALYREF
SOX5,ALYREF
SOX6,ALYREF
SOX9,ALYREF
TBR1,ALYREF
TCF3,ALYREF
TCF7L1,ALYREF
TFAP2C,ALYREF
VEZF1,ALYREF
ZBTB18,ALYREF
ZBTB20,ALYREF
ZNF148,ALYREF
ZNF219,ALYREF
ZNF281,ALYREF
ZNF441,ALYREF
ARX,AMBN
ASCL1,AMBN
E2F1,AMBN
NFIB,AMBN
POU3F1,AMBN
TCF3,AMBN
ARX,AMER2
SOX2,AMER2
BHLHE22,AMMECR1
CTCF,AMMECR1
E2F1,AMMECR1
EMX1,AMMECR1
JUN,AMMECR1
KLF10,AMMECR1
KLF11,AMMECR1
KLF3,AMMECR1
MEF2C,AMMECR1
MEIS2,AMMECR1
NEUROD6,AMMECR1
NFIB,AMMECR1
NR2E1,AMMECR1
NR4A2,AMMECR1
POU3F2,AMMECR1
RFX2,AMMECR1
SATB2,AMMECR1
VEZF1,AMMECR1
ZBTB18,AMMECR1
ZNF219,AMMECR1
NR2E1,AMOTL2
ARX,ANK2
BHLHE22,ANK2
DEAF1,ANK2
KLF11,ANK2
MEF2C,ANK2
NEUROD6,ANK2
NFIB,ANK2
NR2E1,ANK2
SOX2,ANK2
SOX9,ANK2
TCF7L1,ANK2
VEZF1,ANK2
ZNF281,ANK2
KLF10,ANK3
MEF2C,ANK3
SOX5,ANK3
ZNF219,ANK3
KLF11,ANKRD50
ARX,ANKS1B
NR2E1,ANKS1B
SOX2,ANKS1B
ARX,ANLN
CTCF,ANLN
E2F1,ANLN
KLF11,ANLN
MEF2C,ANLN
NEUROD2,ANLN
NFIA,ANLN
NR2E1,ANLN
POU2F1,ANLN
RFX2,ANLN
SOX2,ANLN
SOX9,ANLN
TBR1,ANLN
TCF7L1,ANLN
VEZF1,ANLN
ZBTB20,ANLN
ZNF219,ANLN
ARX,ANOS1
BHLHE22,ANOS1
CTCF,ANOS1
E2F1,ANOS1
EMX1,ANOS1
FOS,ANOS1
JUN,ANOS1
KAT7,ANOS1
KLF10,ANOS1
KLF11,ANOS1
KLF3,ANOS1
MEF2C,ANOS1
NEUROD2,ANOS1
NEUROD6,ANOS1
NFIA,ANOS1
NFIB,ANOS1
NR2E1,ANOS1
NR4A2,ANOS1
PHF21A,ANOS1
POU2F1,ANOS1
POU3F2,ANOS1
RFX2,ANOS1
SATB2,ANOS1
SOX5,ANOS1
SOX6,ANOS1
TBR1,ANOS1
TCF7L1,ANOS1
TFAP2C,ANOS1
VEZF1,ANOS1
ZBTB18,ANOS1
ZBTB20,ANOS1
ZNF148,ANOS1
ZNF219,ANOS1
ZNF441,ANOS1
ARX,ANP32B
ATF7,ANP32B
CTCF,ANP32B
DEAF1,ANP32B
E2F1,ANP32B
JUN,ANP32B
KAT7,ANP32B
KLF11,ANP32B
KLF3,ANP32B
MEF2C,ANP32B
MEIS2,ANP32B
NFIA,ANP32B
NR2E1,ANP32B
POU2F1,ANP32B
RFX2,ANP32B
SOX2,ANP32B
SOX9,ANP32B
TCF7L1,ANP32B
TFAP2C,ANP32B
ZBTB18,ANP32B
ZNF148,ANP32B
ZNF219,ANP32B
ZNF281,ANP32B
ARX,ANP32E
CTCF,ANP32E
E2F1,ANP32E
KLF11,ANP32E
KLF3,ANP32E
MEF2C,ANP32E
MEIS2,ANP32E
NEUROD2,ANP32E
NR2E1,ANP32E
RFX2,ANP32E
SOX2,ANP32E
SOX9,ANP32E
TCF7L1,ANP32E
ZNF219,ANP32E
ARX,ANXA1
ASCL1,ANXA1
ATF7,ANXA1
BHLHE22,ANXA1
CTCF,ANXA1
DEAF1,ANXA1
E2F1,ANXA1
EMX1,ANXA1
FOS,ANXA1
JUN,ANXA1
KAT7,ANXA1
KLF10,ANXA1
KLF11,ANXA1
KLF3,ANXA1
MEF2C,ANXA1
MEIS2,ANXA1
NEUROD2,ANXA1
NEUROD6,ANXA1
NFIA,ANXA1
NFIB,ANXA1
NR2E1,ANXA1
NR4A2,ANXA1
POU2F1,ANXA1
POU3F1,ANXA1
POU3F2,ANXA1
RFX2,ANXA1
SATB2,ANXA1
SOX2,ANXA1
SOX5,ANXA1
SOX6,ANXA1
SOX9,ANXA1
TBR1,ANXA1
TCF3,ANXA1
TCF7L1,ANXA1
TFAP2C,ANXA1
VEZF1,ANXA1
ZBTB18,ANXA1
ZBTB20,ANXA1
ZNF148,ANXA1
ZNF219,ANXA1
ZNF281,ANXA1
ZNF441,ANXA1
ARX,ANXA2
ASCL1,ANXA2
ATF7,ANXA2
BHLHE22,ANXA2
CTCF,ANXA2
DEAF1,ANXA2
E2F1,ANXA2
EMX1,ANXA2
FOS,ANXA2
JUN,ANXA2
KAT7,ANXA2
KLF10,ANXA2
KLF11,ANXA2
KLF3,ANXA2
MEF2C,ANXA2
MEIS2,ANXA2
NEUROD2,ANXA2
NEUROD6,ANXA2
NFIA,ANXA2
NFIB,ANXA2
NR2E1,ANXA2
NR4A2,ANXA2
POU2F1,ANXA2
POU3F2,ANXA2
RFX2,ANXA2
SATB2,ANXA2
SOX2,ANXA2
SOX5,ANXA2
SOX6,ANXA2
SOX9,ANXA2
TBR1,ANXA2
TCF12,ANXA2
TCF3,ANXA2
TCF7L1,ANXA2
TFAP2C,ANXA2
VEZF1,ANXA2
ZBTB18,ANXA2
ZBTB20,ANXA2
ZNF148,ANXA2
ZNF219,ANXA2
ZNF281,ANXA2
ZNF441,ANXA2
ARX,ANXA5
ASCL1,ANXA5
ATF7,ANXA5
BHLHE22,ANXA5
CTCF,ANXA5
DEAF1,ANXA5
E2F1,ANXA5
EMX1,ANXA5
FOS,ANXA5
JUN,ANXA5
KAT7,ANXA5
KLF10,ANXA5
KLF11,ANXA5
KLF3,ANXA5
MEF2C,ANXA5
MEIS2,ANXA5
NEUROD2,ANXA5
NEUROD6,ANXA5
NFIA,ANXA5
NFIB,ANXA5
NR2E1,ANXA5
NR4A2,ANXA5
