gene,ko_gene,log2fc,padj
SLC25A3,GLI3,-0.1636556895252892,0.7029098322952014
TRIM28,GLI3,-0.35169685581905896,0.7032570441529004
CCT6A,GLI3,-0.2805842323410558,0.731778990415309
PPP2R5E,GLI3,0.2794146897082209,0.7476245090089524
CADM1,GLI3,0.17809135012948252,0.7752259859230941
TTC9B,GLI3,0.24042306029925878,0.780176058973157
CPNE5,GLI3,0.7486311955584348,0.8128275961303517
RPS12,GLI3,-0.1636617145945083,0.8264538300903813
C18orf32,GLI3,0.4013022189675053,0.8327856247124963
GNG5,GLI3,-0.317159553368875,0.8460153621485674
SLITRK4,GLI3,0.3958571415415173,0.861499923914943
RNF19A,GLI3,0.3670411003638377,0.8750435060549524
RPL39,GLI3,-0.18059800428814032,0.8772504713420547
TUBB2B,GLI3,0.11116082361155666,0.901827760072079
HSPB1,GLI3,-0.4119506707396913,0.9261298927408466
MORF4L2,GLI3,0.1657216189340538,0.941329244729789
RPL14,GLI3,-0.1375126414626444,0.9519635611372895
MBD5,GLI3,0.3288220834365695,0.962112601204475
CBFA2T3,GLI3,0.25200055054116755,1.0
MARCH8,GLI3,0.2285395286963432,1.0
ATF6,GLI3,0.14037318991844971,1.0
HARS2,GLI3,0.21141687716595614,1.0
INO80,GLI3,-0.21073255136378855,1.0
HYOU1,GLI3,-0.3204192161049968,1.0
SPIN2B,GLI3,0.17272961988315072,1.0
MINDY3,GLI3,0.14202645322625562,1.0
LRWD1,GLI3,0.19194822917746412,1.0
RALB,GLI3,0.1068639514703591,1.0
DNAJB5,GLI3,0.1855599586866603,1.0
METTL16,GLI3,0.13484913002228982,1.0
STX10,GLI3,-0.20095580711141814,1.0
AL354733.3,GLI3,0.1845820750941134,1.0
LMO3,GLI3,-0.20083003089140866,1.0
ELMSAN1,GLI3,0.13420352148187265,1.0
PPIL2,GLI3,0.23113821484739505,1.0
ZNF143,GLI3,0.1316340015360138,1.0
STT3B,GLI3,-0.1379026986041434,1.0
KLHDC10,GLI3,0.15199270922468155,1.0
SH3KBP1,GLI3,0.17875200688840698,1.0
SEC23A,GLI3,0.23303827546633293,1.0
CDK5RAP3,GLI3,-0.1461134229716835,1.0
SH3BP5L,GLI3,0.19053238300102038,1.0
CARD8,GLI3,0.2371806226374109,1.0
BAZ2A,GLI3,0.11719752069399225,1.0
ABL1,GLI3,0.11246733978873946,1.0
AKAP8,GLI3,-0.23696433282844254,1.0
GNB4,GLI3,0.2342876925032633,1.0
MT2A,GLI3,0.33369134265557276,1.0
UQCC1,GLI3,0.17228616680322917,1.0
TMEM115,GLI3,-0.33335936340758776,1.0
HERC4,GLI3,0.1470947150438795,1.0
MFSD11,GLI3,0.14170748147741596,1.0
DNPH1,GLI3,-0.11290880833405592,1.0
SORBS3,GLI3,-0.28860149911680066,1.0
TJP1,GLI3,-0.20145456636530956,1.0
ELMOD3,GLI3,0.11304818631515667,1.0
AC007388.1,GLI3,-0.3625837922660271,1.0
SLITRK5,GLI3,0.1767854342583981,1.0
AKIRIN1,GLI3,-0.12697305398682246,1.0
PLCE1,GLI3,-0.2767991409488917,1.0
PTPRZ1,GLI3,0.22677841058859727,1.0
FBLL1,GLI3,0.2341623772253536,1.0
